dstport,protocol,tag
25,tcp,sv_P1
68,udp,sv_P2
23,tcp,sv_P1
31,udp,sv_P3
443,tcp,sv_P2
22,tcp,sv_P4
3389,tcp,sv_P5
0,icmp,sv_P5
110,tcp,email
993,tcp,email
143,tcp,email
21932,udp,sv_P16
31036,udp,sv_P5
16285,icmp,sv_P2
52417,tcp,service
29548,udp,service
51976,icmp,sv_P6
20964,udp,sv_P10
49466,icmp,sv_P6
54336,udp,sv_P9
31651,tcp,sv_P10
43177,udp,sv_P1
16105,udp,web
64465,icmp,sv_P12
26835,udp,sv_P19
61442,tcp,sv_P5
52945,tcp,sv_P16
44436,udp,sv_P14
58149,icmp,sv_P3
3263,tcp,sv_P18
64916,icmp,sv_P10
779,udp,sv_P1
34607,udp,sv_P4
15006,icmp,sv_P20
37027,icmp,sv_P17
53644,icmp,sv_P8
16221,icmp,sv_P14
32768,tcp,sv_P1
19660,tcp,sv_P4
1198,udp,sv_P19
28728,tcp,sv_P2
9675,udp,sv_P3
45944,udp,sv_P4
24959,udp,sv_P3
60848,icmp,sv_P14
28095,tcp,sv_P13
15244,tcp,email
4169,udp,sv_P16
11467,icmp,service
10875,udp,sv_P12
64235,tcp,sv_P19
11927,icmp,sv_P14
50023,tcp,sv_P13
31420,icmp,web
12627,tcp,sv_P5
54233,icmp,sv_P5
46725,icmp,sv_P4
15479,udp,sv_P15
14891,udp,sv_P18
20610,icmp,sv_P5
11420,tcp,sv_P6
52575,tcp,sv_P8
43095,icmp,service
12314,udp,sv_P1
28157,tcp,sv_P8
16498,udp,sv_P20
45007,icmp,sv_P9
319,udp,sv_P1
14849,udp,sv_P3
22466,udp,sv_P6
54706,icmp,sv_P8
9331,icmp,sv_P4
26755,tcp,sv_P13
13201,tcp,sv_P12
49004,icmp,sv_P20
50131,udp,sv_P15
34780,tcp,email
40506,icmp,sv_P1
18761,tcp,sv_P15
10775,udp,sv_P16
2414,tcp,email
16713,icmp,sv_P13
52977,icmp,sv_P6
8586,udp,sv_P16
2233,tcp,sv_P14
46729,icmp,sv_P1
38190,icmp,sv_P15
17740,udp,email
45981,tcp,sv_P3
17843,tcp,sv_P17
63076,tcp,sv_P10
24316,udp,sv_P16
46977,tcp,sv_P2
38522,icmp,sv_P3
51260,udp,web
59114,icmp,sv_P17
62041,tcp,sv_P6
56259,tcp,service
1102,tcp,email
26111,udp,sv_P8
24460,tcp,service
7786,udp,sv_P1
25154,icmp,sv_P17
61640,udp,sv_P7
20587,udp,sv_P8
32326,udp,sv_P8
18562,udp,sv_P4
22239,icmp,sv_P12
61187,udp,sv_P6
64757,icmp,sv_P7
2133,udp,sv_P9
18049,icmp,sv_P6
64562,tcp,sv_P4
4918,tcp,sv_P18
9463,udp,sv_P14
62526,tcp,email
14239,icmp,service
41535,tcp,sv_P6
3783,udp,sv_P19
57151,tcp,sv_P8
1126,udp,sv_P20
52718,icmp,web
48218,udp,sv_P7
46265,udp,sv_P6
55590,icmp,sv_P10
3804,udp,sv_P15
10140,tcp,sv_P17
28905,tcp,sv_P9
38774,tcp,sv_P8
48918,icmp,web
7968,icmp,service
4206,icmp,sv_P16
90,icmp,sv_P11
34142,tcp,sv_P2
4981,udp,sv_P2
57662,icmp,sv_P20
47912,udp,sv_P18
57525,tcp,sv_P12
23432,tcp,sv_P11
27634,udp,sv_P3
30912,icmp,sv_P19
994,icmp,web
31953,icmp,sv_P2
13339,tcp,sv_P9
29023,icmp,service
6352,icmp,sv_P5
57396,icmp,sv_P2
16347,icmp,sv_P7
4748,icmp,sv_P10
10211,udp,sv_P5
20128,icmp,sv_P18
35467,udp,sv_P16
54498,udp,sv_P11
28877,icmp,sv_P1
18297,icmp,service
10192,udp,sv_P16
4695,icmp,sv_P18
29059,icmp,sv_P2
41038,icmp,email
29200,icmp,sv_P1
9898,udp,sv_P6
4334,tcp,sv_P9
28811,tcp,service
42885,tcp,sv_P6
50827,icmp,sv_P2
45377,udp,sv_P12
51268,tcp,sv_P15
8245,icmp,sv_P20
11766,tcp,sv_P6
44972,icmp,sv_P1
1011,udp,sv_P18
61208,udp,email
10309,icmp,sv_P17
37595,udp,sv_P5
41168,icmp,sv_P10
49498,udp,service
40560,udp,sv_P1
51898,icmp,sv_P19
19214,udp,sv_P4
59666,udp,sv_P12
58984,udp,sv_P1
15949,udp,sv_P6
29375,udp,sv_P6
31778,icmp,sv_P5
18385,tcp,sv_P18
9534,tcp,sv_P15
57393,icmp,sv_P15
22676,icmp,sv_P11
29299,udp,web
38964,icmp,web
48511,tcp,service
31747,tcp,sv_P14
14152,udp,sv_P15
15274,icmp,service
116,tcp,sv_P2
50682,tcp,sv_P2
41978,tcp,service
57994,udp,sv_P13
5627,tcp,sv_P6
6136,udp,sv_P19
23586,icmp,sv_P20
26614,udp,sv_P7
47995,tcp,sv_P6
12073,udp,sv_P9
51301,tcp,sv_P2
57496,udp,sv_P12
20475,icmp,sv_P20
45948,udp,sv_P13
28891,icmp,sv_P5
45814,icmp,sv_P13
33725,icmp,sv_P1
51657,icmp,sv_P2
38518,icmp,sv_P4
57866,icmp,sv_P20
42747,udp,service
52303,udp,sv_P1
26238,icmp,email
23425,icmp,sv_P14
12645,tcp,sv_P8
13221,tcp,service
41796,udp,sv_P1
59406,tcp,sv_P17
22437,udp,sv_P2
64278,icmp,sv_P10
45108,udp,sv_P18
57662,tcp,web
42292,icmp,sv_P13
13643,tcp,sv_P18
19221,udp,sv_P6
55118,icmp,sv_P4
48276,icmp,sv_P7
18386,tcp,sv_P20
45274,udp,email
24645,udp,sv_P16
59872,icmp,sv_P5
23406,icmp,sv_P18
36778,tcp,sv_P4
21119,udp,sv_P18
45740,tcp,sv_P18
45474,tcp,sv_P7
13169,udp,sv_P6
59614,udp,sv_P13
22155,udp,sv_P18
49758,udp,sv_P12
16061,icmp,sv_P9
37041,udp,sv_P1
2619,udp,sv_P7
2331,tcp,sv_P17
18927,udp,sv_P1
25648,udp,email
54297,tcp,web
47766,udp,web
7499,udp,email
44540,tcp,sv_P11
46967,icmp,sv_P18
30236,udp,sv_P1
19408,tcp,sv_P4
52863,tcp,sv_P3
22942,icmp,sv_P5
5953,icmp,sv_P11
3012,udp,sv_P10
32974,tcp,sv_P12
42537,udp,sv_P14
63785,tcp,email
24367,icmp,sv_P1
48983,udp,sv_P1
61109,udp,sv_P5
